time,soil_moisture_tomst_mean
2022-05-01 00:00:00,46.333333333333336
2022-05-01 00:30:00,46.28333333333333
2022-05-01 01:00:00,46.21666666666666
2022-05-01 01:30:00,46.15
2022-05-01 02:00:00,46.03333333333333
2022-05-01 02:30:00,45.96666666666666
2022-05-01 03:00:00,45.9
2022-05-01 03:30:00,45.833333333333336
2022-05-01 04:00:00,45.78333333333333
2022-05-01 04:30:00,45.75
2022-05-01 05:00:00,45.73333333333334
2022-05-01 05:30:00,45.73333333333334
2022-05-01 06:00:00,45.71666666666667
2022-05-01 06:30:00,45.699999999999996
2022-05-01 07:00:00,45.75
2022-05-01 07:30:00,45.800000000000004
2022-05-01 08:00:00,45.883333333333326
2022-05-01 08:30:00,45.949999999999996
2022-05-01 09:00:00,46.04999999999999
2022-05-01 09:30:00,46.38333333333333
2022-05-01 10:00:00,46.76666666666667
2022-05-01 10:30:00,47.04999999999999
2022-05-01 11:00:00,47.20000000000001
2022-05-01 11:30:00,47.23333333333333
2022-05-01 12:00:00,47.48333333333334
2022-05-01 12:30:00,47.51666666666667
2022-05-01 13:00:00,47.5
2022-05-01 13:30:00,47.56666666666666
2022-05-01 14:00:00,47.550000000000004
2022-05-01 14:30:00,47.51666666666667
2022-05-01 15:00:00,47.416666666666664
2022-05-01 15:30:00,47.53333333333333
2022-05-01 16:00:00,47.54999999999999
2022-05-01 16:30:00,47.583333333333336
2022-05-01 17:00:00,47.6
2022-05-01 17:30:00,47.583333333333336
2022-05-01 18:00:00,47.416666666666664
2022-05-01 18:30:00,47.26666666666667
2022-05-01 19:00:00,47.15
2022-05-01 19:30:00,47.06666666666666
2022-05-01 20:00:00,46.96666666666667
2022-05-01 20:30:00,46.85
2022-05-01 21:00:00,46.68333333333334
2022-05-01 21:30:00,46.51666666666667
2022-05-01 22:00:00,46.333333333333336
2022-05-01 22:30:00,46.099999999999994
2022-05-01 23:00:00,45.949999999999996
2022-05-01 23:30:00,45.78333333333334
2022-05-02 00:00:00,45.70000000000001
2022-05-02 00:30:00,45.583333333333336
2022-05-02 01:00:00,45.5
2022-05-02 01:30:00,45.43333333333333
2022-05-02 02:00:00,45.4
2022-05-02 02:30:00,45.4
2022-05-02 03:00:00,45.36666666666667
2022-05-02 03:30:00,45.36666666666667
2022-05-02 04:00:00,45.36666666666667
2022-05-02 04:30:00,45.349999999999994
2022-05-02 05:00:00,45.333333333333336
2022-05-02 05:30:00,45.29999999999999
2022-05-02 06:00:00,45.29999999999999
2022-05-02 06:30:00,45.35
2022-05-02 07:00:00,45.46666666666667
2022-05-02 07:30:00,45.51666666666667
2022-05-02 08:00:00,45.61666666666667
2022-05-02 08:30:00,45.75
2022-05-02 09:00:00,45.88333333333333
2022-05-02 09:30:00,45.98333333333333
2022-05-02 10:00:00,46.1
2022-05-02 10:30:00,46.28333333333333
2022-05-02 11:00:00,46.43333333333334
2022-05-02 11:30:00,46.416666666666664
2022-05-02 12:00:00,46.5
2022-05-02 12:30:00,46.53333333333333
2022-05-02 13:00:00,46.550000000000004
2022-05-02 13:30:00,46.53333333333333
2022-05-02 14:00:00,46.5
2022-05-02 14:30:00,46.48333333333333
2022-05-02 15:00:00,46.449999999999996
2022-05-02 15:30:00,46.449999999999996
2022-05-02 16:00:00,46.43333333333334
2022-05-02 16:30:00,46.416666666666664
2022-05-02 17:00:00,46.36666666666667
2022-05-02 17:30:00,46.36666666666667
2022-05-02 18:00:00,46.333333333333336
2022-05-02 18:30:00,46.38333333333333
2022-05-02 19:00:00,46.36666666666667
2022-05-02 19:30:00,46.31666666666666
2022-05-02 20:00:00,46.26666666666666
2022-05-02 20:30:00,46.199999999999996
2022-05-02 21:00:00,46.150000000000006
2022-05-02 21:30:00,46.083333333333336
2022-05-02 22:00:00,46.01666666666667
2022-05-02 22:30:00,45.98333333333334
2022-05-02 23:00:00,45.96666666666667
2022-05-02 23:30:00,45.98333333333334
2022-05-03 00:00:00,45.900000000000006
2022-05-03 00:30:00,45.86666666666667
2022-05-03 01:00:00,45.833333333333336
2022-05-03 01:30:00,45.70000000000001
2022-05-03 02:00:00,45.56666666666666
2022-05-03 02:30:00,45.449999999999996
2022-05-03 03:00:00,45.36666666666667
2022-05-03 03:30:00,45.28333333333333
2022-05-03 04:00:00,45.23333333333333
2022-05-03 04:30:00,45.21666666666667
2022-05-03 05:00:00,45.15
2022-05-03 05:30:00,45.13333333333333
2022-05-03 06:00:00,45.15
2022-05-03 06:30:00,45.21666666666667
2022-05-03 07:00:00,45.28333333333333
2022-05-03 07:30:00,45.333333333333336
2022-05-03 08:00:00,45.36666666666667
2022-05-03 08:30:00,45.4
2022-05-03 09:00:00,45.45000000000001
2022-05-03 09:30:00,45.48333333333334
2022-05-03 10:00:00,45.5
2022-05-03 10:30:00,45.5
2022-05-03 11:00:00,45.48333333333334
2022-05-03 11:30:00,45.583333333333336
2022-05-03 12:00:00,45.51666666666667
2022-05-03 12:30:00,45.5
2022-05-03 13:00:00,45.48333333333334
2022-05-03 13:30:00,45.43333333333334
2022-05-03 14:00:00,45.38333333333333
2022-05-03 14:30:00,45.31666666666667
2022-05-03 15:00:00,45.26666666666667
2022-05-03 15:30:00,45.13333333333333
2022-05-03 16:00:00,45.01666666666667
2022-05-03 16:30:00,45.06666666666667
2022-05-03 17:00:00,44.98333333333334
2022-05-03 17:30:00,44.96666666666667
2022-05-03 18:00:00,44.916666666666664
2022-05-03 18:30:00,44.900000000000006
2022-05-03 19:00:00,44.833333333333336
2022-05-03 19:30:00,44.81666666666666
2022-05-03 20:00:00,44.68333333333333
2022-05-03 20:30:00,44.63333333333333
2022-05-03 21:00:00,44.56666666666666
2022-05-03 21:30:00,44.56666666666666
2022-05-03 22:00:00,44.5
2022-05-03 22:30:00,44.300000000000004
2022-05-03 23:00:00,44.18333333333333
2022-05-03 23:30:00,44.050000000000004
2022-05-04 00:00:00,43.93333333333334
2022-05-04 00:30:00,43.73333333333333
2022-05-04 01:00:00,43.65
2022-05-04 01:30:00,43.550000000000004
2022-05-04 02:00:00,43.48333333333333
2022-05-04 02:30:00,43.35
2022-05-04 03:00:00,43.26666666666667
2022-05-04 03:30:00,43.18333333333334
2022-05-04 04:00:00,43.150000000000006
2022-05-04 04:30:00,43.03333333333333
2022-05-04 05:00:00,42.95000000000001
2022-05-04 05:30:00,42.916666666666664
2022-05-04 06:00:00,42.86666666666667
2022-05-04 06:30:00,42.9
2022-05-04 07:00:00,43.050000000000004
2022-05-04 07:30:00,43.199999999999996
2022-05-04 08:00:00,43.48333333333333
