time,F_CH4,F_CH4_ln,T_air_K,T_air,soil_moisture_tomst_mean,Dead wood,Harvest residue,Exposed peat,Litter,Bottom layer,Field layer,Ditch,Living tree,Plant covered ditch,Dead wood and residue,Green vegetation and trees,All ditches,"Residue, ground and vegetation"
2022-05-01 05:00:00,0.0001107729999999,2.3136014890610768,275.861,2.711,45.73333333333334,0.2570561973539296,0.0137882811214263,0.4912164537504679,0.1026945318565451,0.0062513349067918,0.04187014106797,0.0460310334823322,0.0101173505469682,0.0085052845524175,0.270844478475356,0.0519874916149382,0.0545363180347498,0.4255265019468395
2022-05-01 05:30:00,0.00024622,2.3269088570803658,276.8731,3.7231,45.73333333333334,0.2233567607907141,0.0257429341578333,0.4363008810999127,0.1251192840163387,0.0045744137325511,0.0461716086466599,0.0679764854399103,0.0151395377818538,0.0183403977035834,0.2490996949485475,0.0613111464285137,0.0863168831434938,0.4355301253934001
2022-05-01 06:00:00,0.0017560201,2.464365458320436,278.0692,4.9192,45.71666666666667,0.2074064269071022,0.016862779262486,0.4951947188011492,0.1265713304313527,0.0057645555745404,0.0512692226410731,0.042232299089493,0.0136758998486042,0.0031895219008102,0.2242692061695882,0.0649451224896774,0.0454218209903032,0.4157856590906184
2022-05-01 06:30:00,-0.0004008448,2.261675094601564,279.1178,5.9678,45.7,0.2065039488984979,0.0255522254310846,0.437890998188785,0.1433017745097702,0.0071365282912616,0.0867043799077814,0.0315827972923986,0.0175688244618929,0.0050133488408195,0.2320561743295825,0.1042732043696743,0.0365961461332182,0.4796311532090271
2022-05-01 07:00:00,0.0006313286999999,2.3638051798389266,280.19199999999995,7.042,45.75,0.2069100787221632,0.0235469680286058,0.4562739157022799,0.143623815063659,0.0067926763040596,0.0773892594332728,0.0301214774265823,0.0153862979248689,0.0032076268303042,0.230457046750769,0.0927755573581417,0.0333291042568865,0.4668564191725697
2022-05-01 07:30:00,-0.0001183451,2.2906799977332177,281.1321,7.9821,45.8,0.2052865626134369,0.0248938248443759,0.4483150091992931,0.1415308266192032,0.0065823707146792,0.0832609627287339,0.0298884581929097,0.0199282153349833,0.0049570747783445,0.2301803874578128,0.1031891780637173,0.0348455329712543,0.4749003921407334
2022-05-01 08:00:00,0.001160429,2.412374397074549,281.8248,8.6748,45.883333333333326,0.2057989206413762,0.024156907997461,0.465039232673841,0.1384273497669548,0.0063486693758796,0.0801549170221118,0.0272774507699473,0.0202155069780417,0.0046391760174056,0.2299558286388373,0.1003704240001535,0.0319166267873529,0.4687536024059457
2022-05-01 08:30:00,0.0005414072,2.3553110446379235,281.8423,8.6923,45.95,0.2050594632454195,0.0370892816788476,0.3712013718935841,0.1483372158285595,0.0088990360575112,0.1235922094072648,0.0242635902781604,0.0263965170505245,0.0084240569385531,0.2421487449242672,0.1499887264577893,0.0326876472167136,0.5404746872106161
2022-05-01 09:00:00,-0.0003968059,2.262095761885182,281.8216,8.6716,46.04999999999999,0.2051423481242776,0.0325668467981921,0.3948703448931253,0.1388045994826829,0.0085007294789976,0.1188767021110847,0.0275794046282627,0.0257365739619612,0.008464897853848,0.2377091949224697,0.1446132760730459,0.0360443024821107,0.5211270704781986
2022-05-01 09:30:00,0.0004956441,2.350960323471351,283.0358,9.8858,46.38333333333333,0.1928007541239242,0.0286618981949237,0.4545325165620216,0.1222623122513446,0.0074484943546024,0.1144115086602428,0.020548023082661,0.0278523790763002,0.0065376941834988,0.2214626523188479,0.1422638877365431,0.0270857172661599,0.4859888523067358
2022-05-01 10:00:00,0.0006051902,2.3613435227921675,282.3457,9.1957,46.76666666666667,0.2041547688025383,0.0276224394217442,0.4307671794724096,0.1386260761220411,0.0072348005896268,0.0980270861881984,0.0294724325364856,0.0231703656559438,0.0071449756027478,0.2317772082242826,0.1211974518441423,0.0366174081392334,0.491600736190466
2022-05-01 10:30:00,0.0004302173,2.3447071029279645,282.2282,9.0782,47.04999999999999,0.2087304608325077,0.0198954331155571,0.4837547869341808,0.1439488691759952,0.0067630250943317,0.0636839752523472,0.0277994024108715,0.0089418212624673,0.0013158852991109,0.2286258939480648,0.0726257965148145,0.0291152877099825,0.4452005596388746
2022-05-01 11:00:00,0.00029595935,2.3317515221508334,282.0701,8.9201,47.20000000000001,0.2215988873678491,0.0150332346548519,0.519160901538177,0.1211287952088758,0.0060058050577778,0.0507549633730724,0.02782641877107,0.0094413482102544,0.0016597403472828,0.2366321220227011,0.0601963115833268,0.0294861591183528,0.4179572288149037
